iShares ESG Aware MSCI USA ETF
Fund Holdings as of,"Sep 16, 2026"
Inception Date,"Dec 01, 2016"
Shares Outstanding,"107,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"A","AGILENT TECHNOLOGIES INC","Health Care","Equity","31,378,118.85","0.18","31,378,118.85","204,165.00","153.69","United States","NYSE","USD","1.00","USD","-"
"INTU","INTUIT","Information Technology","Equity","31,373,980.60","0.18","31,373,980.60","98,620.00","318.13","United States","NASDAQ","USD","1.00","USD","-"
"CASY","CASEYS GENERAL STORES INC","Consumer Staples","Equity","31,127,472.00","0.18","31,127,472.00","52,848.00","589.00","United States","NASDAQ","USD","1.00","USD","-"
"EXPD","EXPEDITORS INTERNATIONAL OF WASHIN","Industrials","Equity","30,891,215.44","0.17","30,891,215.44","163,411.00","189.04","United States","NYSE","USD","1.00","USD","-"
"TROW","T ROWE PRICE GROUP","Financials","Equity","30,581,760.00","0.17","30,581,760.00","298,650.00","102.40","United States","NASDAQ","USD","1.00","USD","-"
"NDAQ","NASDAQ INC","Financials","Equity","30,240,620.76","0.17","30,240,620.76","340,701.00","88.76","United States","NASDAQ","USD","1.00","USD","-"
"TRV","TRAVELERS COMPANIES","Financials","Equity","30,151,801.16","0.17","30,151,801.16","79,573.00","378.92","United States","NYSE","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","29,590,580.00","0.17","29,590,580.00","383,000.00","77.26","United States","NYSE","USD","1.00","USD","-"
"KEYS","KEYSIGHT TECHNOLOGIES","Information Technology","Equity","29,465,693.88","0.17","29,465,693.88","91,497.00","322.04","United States","NYSE","USD","1.00","USD","-"
"PSX","PHILLIPS 66","Energy","Equity","29,384,515.20","0.17","29,384,515.20","111,040.00","264.63","United States","NYSE","USD","1.00","USD","-"
"CMG","CHIPOTLE MEXICAN GRILL","Consumer Discretionary","Equity","29,355,791.12","0.17","29,355,791.12","871,609.00","33.68","United States","NYSE","USD","1.00","USD","-"
"NET","CLOUDFLARE CLASS A","Information Technology","Equity","29,146,427.70","0.16","29,146,427.70","89,778.00","324.65","United States","NYSE","USD","1.00","USD","-"
"ES","EVERSOURCE ENERGY","Utilities","Equity","28,982,734.56","0.16","28,982,734.56","427,096.00","67.86","United States","NYSE","USD","1.00","USD","-"
"BR","BROADRIDGE FINANCIAL SOLUTIONS INC","Industrials","Equity","27,899,017.30","0.16","27,899,017.30","166,970.00","167.09","United States","NYSE","USD","1.00","USD","-"
"VEEV","VEEVA SYSTEMS CLASS A","Health Care","Equity","27,723,109.50","0.16","27,723,109.50","104,655.00","264.90","United States","NYSE","USD","1.00","USD","-"
"MCO","MOODYS CORP","Financials","Equity","27,689,537.70","0.16","27,689,537.70","59,509.00","465.30","United States","NYSE","USD","1.00","USD","-"
"SNOW","SNOWFLAKE","Information Technology","Equity","27,502,134.66","0.16","27,502,134.66","83,083.00","331.02","United States","NYSE","USD","1.00","USD","-"
"ADM","ARCHER DANIELS MIDLAND","Consumer Staples","Equity","27,435,280.00","0.15","27,435,280.00","322,768.00","85.00","United States","NYSE","USD","1.00","USD","-"
"SHW","SHERWIN WILLIAMS","Materials","Equity","27,250,164.20","0.15","27,250,164.20","84,770.00","321.46","United States","NYSE","USD","1.00","USD","-"
"FTNT","FORTINET","Information Technology","Equity","26,943,155.12","0.15","26,943,155.12","156,856.00","171.77","United States","NASDAQ","USD","1.00","USD","-"
"FFIV","F5","Information Technology","Equity","26,859,841.90","0.15","26,859,841.90","63,410.00","423.59","United States","NASDAQ","USD","1.00","USD","-"
"FITB","FIFTH THIRD BANCORP","Financials","Equity","26,665,159.80","0.15","26,665,159.80","508,780.00","52.41","United States","NYSE","USD","1.00","USD","-"
"ZTS","ZOETIS INC CLASS A","Health Care","Equity","26,596,236.00","0.15","26,596,236.00","364,332.00","73.00","United States","NYSE","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN","Industrials","Equity","26,366,287.50","0.15","26,366,287.50","28,698.00","918.75","United States","NYSE","USD","1.00","USD","-"
"MELI","MERCADOLIBRE","Consumer Discretionary","Equity","26,357,525.17","0.15","26,357,525.17","14,327.00","1,839.71","United States","NASDAQ","USD","1.00","USD","-"
"CFG","CITIZENS FINANCIAL GROUP INC","Financials","Equity","26,331,885.36","0.15","26,331,885.36","393,954.00","66.84","United States","NYSE","USD","1.00","USD","-"
"SBAC","SBA COMMUNICATIONS REIT CORP CLASS","Real Estate","Equity","26,018,830.66","0.15","26,018,830.66","144,533.00","180.02","United States","NASDAQ","USD","1.00","USD","-"
