iShares ESG Optimized MSCI USA ETF
Fund Holdings as of,"Sep 16, 2026"
Inception Date,"Jan 24, 2005"
Shares Outstanding,"25,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"HPE","HEWLETT PACKARD ENTERPRISE","Information Technology","Equity","10,846,624.88","0.27","10,846,624.88","191,366.00","56.68","United States","NYSE","USD","1.00","USD","-"
"BG","BUNGE GLOBAL SA","Consumer Staples","Equity","10,713,529.71","0.27","10,713,529.71","91,467.00","117.13","United States","NYSE","USD","1.00","USD","-"
"INTU","INTUIT","Information Technology","Equity","10,544,736.98","0.26","10,544,736.98","33,146.00","318.13","United States","NASDAQ","USD","1.00","USD","-"
"CBOE","CBOE GLOBAL MARKETS","Financials","Equity","10,502,689.91","0.26","10,502,689.91","38,837.00","270.43","United States","Cboe BZX","USD","1.00","USD","-"
"SNOW","SNOWFLAKE","Information Technology","Equity","10,495,651.14","0.26","10,495,651.14","31,707.00","331.02","United States","NYSE","USD","1.00","USD","-"
"RJF","RAYMOND JAMES","Financials","Equity","10,123,688.12","0.25","10,123,688.12","61,516.00","164.57","United States","NYSE","USD","1.00","USD","-"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","Information Technology","Equity","9,922,107.42","0.25","9,922,107.42","12,669.00","783.18","United States","NASDAQ","USD","1.00","USD","-"
"OKTA","OKTA CLASS A","Information Technology","Equity","9,788,824.20","0.25","9,788,824.20","52,035.00","188.12","United States","NASDAQ","USD","1.00","USD","-"
"CMG","CHIPOTLE MEXICAN GRILL","Consumer Discretionary","Equity","9,753,121.76","0.24","9,753,121.76","289,582.00","33.68","United States","NYSE","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN","Industrials","Equity","9,409,837.50","0.24","9,409,837.50","10,242.00","918.75","United States","NYSE","USD","1.00","USD","-"
"MET","METLIFE","Financials","Equity","9,352,456.47","0.23","9,352,456.47","96,189.00","97.23","United States","NYSE","USD","1.00","USD","-"
"NDAQ","NASDAQ INC","Financials","Equity","9,222,075.24","0.23","9,222,075.24","103,899.00","88.76","United States","NASDAQ","USD","1.00","USD","-"
"CCI","CROWN CASTLE INC","Real Estate","Equity","8,921,857.00","0.22","8,921,857.00","121,850.00","73.22","United States","NYSE","USD","1.00","USD","-"
"NTAP","NETAPP INC","Information Technology","Equity","8,795,327.19","0.22","8,795,327.19","45,931.00","191.49","United States","NASDAQ","USD","1.00","USD","-"
