iShares Core S&P 500 ETF
Fund Holdings as of,"Sep 16, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,082,250,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NEM","NEWMONT","Materials","Equity","1,652,704,976.64","0.20","1,652,704,976.64","13,573,464.00","121.76","United States","NYSE","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","1,651,316,060.40","0.20","1,651,316,060.40","25,964,089.00","63.60","United States","NYSE","USD","1.00","USD","-"
"PGR","PROGRESSIVE","Financials","Equity","1,612,108,543.86","0.19","1,612,108,543.86","7,429,414.00","216.99","United States","NYSE","USD","1.00","USD","-"
"PLD","PROLOGIS REIT","Real Estate","Equity","1,612,128,039.30","0.19","1,612,128,039.30","12,054,195.00","133.74","United States","NYSE","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","1,607,640,499.14","0.19","1,607,640,499.14","7,912,006.00","203.19","United States","NYSE","USD","1.00","USD","-"
"SPGI","S&P GLOBAL","Financials","Equity","1,568,074,036.60","0.19","1,568,074,036.60","3,855,035.00","406.76","United States","NYSE","USD","1.00","USD","-"
"CB","CHUBB","Financials","Equity","1,566,272,973.44","0.19","1,566,272,973.44","4,586,048.00","341.53","United States","NYSE","USD","1.00","USD","-"
"MPC","MARATHON PETROLEUM","Energy","Equity","1,536,308,369.44","0.19","1,536,308,369.44","3,711,607.00","413.92","United States","NYSE","USD","1.00","USD","-"
"VLO","VALERO ENERGY CORP","Energy","Equity","1,522,448,944.48","0.18","1,522,448,944.48","3,775,166.00","403.28","United States","NYSE","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","1,511,583,972.60","0.18","1,511,583,972.60","16,323,801.00","92.60","United States","NYSE","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","1,488,364,812.30","0.18","1,488,364,812.30","21,232,023.00","70.10","United States","NYSE","USD","1.00","USD","-"
"CVS","CVS HEALTH","Health Care","Equity","1,487,959,893.72","0.18","1,487,959,893.72","16,222,851.00","91.72","United States","NYSE","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","1,480,279,206.12","0.18","1,480,279,206.12","7,805,733.00","189.64","United States","NYSE","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN","Industrials","Equity","1,472,801,268.75","0.18","1,472,801,268.75","1,603,049.00","918.75","United States","NYSE","USD","1.00","USD","-"
"GLW","CORNING","Information Technology","Equity","1,435,529,422.40","0.17","1,435,529,422.40","9,957,890.00","144.16","United States","NYSE","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","1,410,541,675.16","0.17","1,410,541,675.16","14,490,874.00","97.34","United States","NASDAQ","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","1,388,461,948.76","0.17","1,388,461,948.76","5,082,404.00","273.19","United States","NASDAQ","USD","1.00","USD","-"
